Old taxserial code,taxserial,COMNAME,GUI_MainTab,GUI_SubTab,GUI_HomeOrder,GUI_MainTabOrder,GUI_SubTabOrder,GUI_ItemOrder,GUI_DisplayName,species,Taxonomic_Level,Report_Group,Observation_Type,Depth_Min,Depth_Max,Region,Habitat_Preference,Likelihood,Max_Size,Record_Max,COMNAME0,species0
,167116,Lingcod,Reef Fish,Home,20,3,1,3,Lingcod,Ophiodon elongatus,species,Hexigrammid,fish,0,475,AK-Baja,Hard/Soft Mixed,Common,114,152,Lingcod,Ophiodon elongatus
,167110,Kelp Greenling,Reef Fish,Home,21,3,1,4,Kelp Greenling,Hexagrammos decagrammus,species,Hexigrammid,fish,0,46,AK-SCA,Rocky,Common,53,61,Kelp greenling,Hexagrammos decagrammus
,167111,Rock Greenling,Reef Fish,Home,,3,1,5,Rock Greenling,Hexagrammos lagocephalus,species,Hexigrammid,fish,0,596,AK-CCA,Rocky,Common,61,61,Rock greenling,Hexagrammos lagocephalus
,167118,Painted Greenling,Reef Fish,Home,22,3,1,6,Painted Greenling,Oxylebius pictus,species,Hexigrammid,fish,0,49,AK-Baja,Rocky,Common,15,25,Painted greenling,Oxylebius pictus
167108,167109,UI greenling,Reef Fish,Home,,3,1,7,UI greenling,Unidentified Hexagrammos sp.,genus,Hexigrammid,fish,,,,,,61,,UI hexagrammid,Hexagrammidae
,167918,Giant Sea Bass,Reef Fish,Home,,3,1,8,Giant Sea Bass,Stereolepis gigas,species,Bass,fish,5,46,NCA-Baja,Hard/Soft Mixed,Common,213,250,Giant sea bass,Stereolepis gigas
,167841,Threadfin Bass,Reef Fish,Home,,3,1,9,Threadfin Bass,Pronotogrammus multifasciatus,species,Bass,fish,40,200,SCA-Peru,Hard/Soft Mixed,No data,26,26,Threadfin bass,Pronotogrammus multifasciatus
,170085,Blacksmith,Reef Fish,Home,23,3,1,10,Blacksmith,Chromis punctipinnis,species,Other Reef Fish,fish,0,46,SCA-Baja,Rocky,Common,25,31,Blacksmith,Chromis punctipinnis
,169522,Halfmoon,Reef Fish,Home,,3,1,11,Halfmoon,Medialuna californiensis,species,Other Reef Fish,fish,0,40,Can-Baja,Hard/Soft Mixed,Common,48,48,Halfmoon,Medialuna californiensis
,169515,Opaleye,Reef Fish,Home,,3,1,12,Opaleye,Girella nigricans,species,Other Reef Fish,fish,0,30,CCA-Baja,Hard/Soft Interface,Common,64,66,Opaleye,Girella nigricans
,553364,Sargo,Reef Fish,Home,,3,1,13,Sargo,Anisotremus davidsonii,species,Other Reef Fish,fish,0,40,CCA-Baja,Hard/Soft Mixed,Common,58,58,Sargo,Anisotremus davidsonii
,170120,Garibaldi,Reef Fish,Home,,3,1,14,Garibaldi,Hypsypops rubicundus,species,Other Reef Fish,fish,0,29,CCA-Baja,Rocky,Common,30,35,Garibaldi,Hypsypops rubicundus
,168540,Ocean Whitefish,Reef Fish,Home,,3,1,15,Ocean Whitefish,Caulolatilus princeps,species,Other Reef Fish,fish,1,137,Can-Baja,Rocky,Common,102,102,Ocean whitefish,Caulolatilus princeps
,171345,Wolf-eel,Reef Fish,Home,,3,1,16,Wolf-eel,Anarrhichthys ocellatus,species,Other Reef Fish,fish,0,225,AK-Baja,Rocky,Common,203,240,Wolf eel,Anarrhichthys ocellatus
