Old taxserial code,taxserial,COMNAME,GUI_MainTab,GUI_SubTab,GUI_HomeOrder,GUI_MainTabOrder,GUI_SubTabOrder,GUI_ItemOrder,GUI_DisplayName,species,Taxonomic_Level,Report_Group,Observation_Type,Depth_Min,Depth_Max,Region,Habitat_Preference,Likelihood,Max_Size,Record_Max,COMNAME0,species0
,166717,Greenstriped Rockfish,Rockfish_Rockfish,Home_Red Rockfish,,2_2,1_2,21_13,Greenstriped RF,Sebastes elongatus,species,Rockfish - Demersal,fish,12,145,AK-Baja,Hard/Soft Mixed,Common,38,49,Greenstriped rockfish,Sebastes elongatus
,166748,Greenspotted Rockfish,Rockfish_Rockfish,Home_Red Rockfish,,2_2,1_2,22_5,Greenspotted RF,Sebastes chlorostictus,species,Rockfish - Demersal,fish,30,379,Can-Baja,Hard/Soft Mixed,Common,50,53,Greenspotted rockfish,Sebastes chlorostictus
,166740,Yelloweye Rockfish,Rockfish_Rockfish,Home_Red Rockfish,6,2_2,1_2,26_8,Yelloweye RF,Sebastes ruberrimus,species,Rockfish - Demersal,fish,11,549,AK-SCA,Hard/Soft Mixed,Common,91,91,Yelloweye rockfish,Sebastes ruberrimus
,44,UI Sebastomus rockfish,Rockfish_Rockfish,Home_Red Rockfish,17,2_2,1_2,31_12,UI Sebastomus RF,Unidentified Sebastomus sp.,genus,Rockfish - Demersal,fish,,,,,,,,Sebastomus rockfish,Subgenus Sebastomus
,166729,Vermilion Rockfish,Rockfish_Rockfish,Home_Red Rockfish,4,2_2,1_2,5_1,Vermilion RF,Sebastes miniatus,species,Rockfish - Demersal,fish,6,478,AK-Baja,Hard/Soft Mixed,Common,76,76,Vermilion rockfish,Sebastes miniatus
,166734,Canary Rockfish,Rockfish_Rockfish,Home_Red Rockfish,5,2_2,1_2,7_2,Canary RF,Sebastes pinniger,species,Rockfish - Demersal,fish,18,839,AK-Baja,Rocky,Common,76,76,Canary rockfish,Sebastes pinniger
,166738,Rosy Rockfish,Rockfish_Rockfish,Home_Red Rockfish,11,2_2,1_2,10_3,Rosy RF,Sebastes rosaceus,species,Rockfish - Demersal,fish,22,290,SCA-Baja,Rocky,Common,32,36,Rosy rockfish,Sebastes rosaceus
,166767,Gopher Rockfish,Rockfish_Rockfish,Home_Patterned,13,2_2,1_3,12_11,Gopher RF,Sebastes carnatus,species,Rockfish - Demersal,fish,0,86,OR-Baja,Rocky,Common,39,39,Gopher rockfish,Sebastes carnatus
,166750,Calico Rockfish,Rockfish_Rockfish,Home_Patterned,12,2_2,1_3,13_5,Calico RF,Sebastes dallii,species,Rockfish - Demersal,fish,0,305,CCA-Baja,Hard/Soft Interface,Common,20,25,Calico rockfish,Sebastes dalli
,166754,Cowcod,Rockfish,Patterned,,2,3,7,Cowcod,Sebastes levis,species,Rockfish - Demersal,fish,20,491,OR-Baja,Rocky,Common,94,100,Cowcod,Sebastes levis
,166726,Quillback Rockfish,Rockfish_Rockfish,Home_Patterned,8,2_2,1_3,16_6,Quillback RF,Sebastes maliger,species,Rockfish - Demersal,fish,0,274,AK-CCA,Rocky,Common,61,64,Quillback rockfish,Sebastes maliger
,166708,Brown Rockfish,Rockfish_Rockfish,Home_Patterned,7,2_2,1_3,18_1,Brown RF,Sebastes auriculatus,species,Rockfish - Demersal,fish,0,294,Can-Baja,Hard/Soft Mixed,Common,54,56,Brown rockfish,Sebastes auriculatus
,166764,Treefish,Rockfish_Rockfish,Home_Patterned,,2_2,1_3,19_15,Treefish,Sebastes serriceps,species,Rockfish - Demersal,fish,0,106,NCA-Baja,Rocky,Common,41,41,Treefish,Sebastes serriceps
,166760,Flag Rockfish,Rockfish_Rockfish,Home_Patterned,,2_2,1_3,20_12,Flag RF,Sebastes rubrivinctus,species,Rockfish - Demersal,fish,30,431,OR-Baja,Rocky,Common,44,63,Flag rockfish,Sebastes rubrivinctus
,166731,China Rockfish,Rockfish,Patterned,,2,3,3,China RF,Sebastes nebulosus,species,Rockfish - Demersal,fish,3,128,AK-SCA,Rocky,Common,43,45,China rockfish,Sebastes nebulosus
,166732,Tiger Rockfish,Rockfish,Patterned,,2,3,13,Tiger RF,Sebastes nigrocinctus,species,Rockfish - Demersal,fish,9,298,AK-SCA,Rocky,Uncommon,61,61,Tiger rockfish,Sebastes nigrocinctus
,166713,Copper Rockfish,Rockfish_Rockfish,Home_Patterned,14,2_2,1_3,8_10,Copper RF,Sebastes caurinus,species,Rockfish - Demersal,fish,0,408,AK-Baja,Rocky,Common,57,66,Copper rockfish,Sebastes caurinus
,999996,YOY,Rockfish_Rockfish,Home_Schooling,1,2_2,1_4,1_11,YOY,Young of year (<10 cm Sebastes sp.),genus,Rockfish - Small Schooling,fish,,,,Hard/Soft Mixed,Common,9,,YOY,Young of year rockfish
,166743,Pygmy Rockfish,Rockfish_Rockfish,Home_Schooling,,2_2,1_4,11_9,Pygmy RF,Sebastes wilsoni,species,Rockfish - Small Schooling,fish,30,270,AK-SCA,Hard/Soft Mixed,Uncommon,21,24,Pygmy rockfish,Sebastes wilsoni
,166733,Bocaccio,Rockfish_Rockfish,Home_Schooling,,2_2,1_4,15_4,Bocaccio,Sebastes paucispinis,species,Rockfish - Large Schooling,fish,0,475,AK-Baja,Hard/Soft Mixed,Common,91,98,Bocaccio,Sebastes paucispinis
,166762,Halfbanded Rockfish,Rockfish_Rockfish,Home_Schooling,9,2_2,1_4,2_8,Halfbanded RF,Sebastes semicinctus,species,Rockfish - Small Schooling,fish,15,402,WA-Baja,Hard/Soft Mixed,Common,25,25,Halfbanded rockfish,Sebastes semicinctus
,166719,Widow Rockfish,Rockfish_Rockfish,Home_Schooling,16,2_2,1_4,27_7,Widow RF,Sebastes entomelas,species,Rockfish - Large Schooling,fish,0,400,AK-SCA,See specific species,Common,53,62,Widow rockfish,Sebastes entomelas
,32,Small schooling rockfish,Rockfish_Rockfish,Home_Schooling,18,2_2,1_4,29_13,Small schooling RF,Schooling (10-15 cm Sebastes sp.),genus,Rockfish - Small Schooling,fish,,,,,,,,Small schooling rockfish,Schooling rockfish (10-15cm)
,166730,Blue/Deacon Rockfish,Rockfish_Rockfish,Home_Schooling,2,2_2,1_4,3_1,Blue/Deacon RF,Sebastes mystinus or diaconus,complex,Rockfish - Large Schooling,fish,0,550,Can-Baja,Rocky,Common,53,53,Blue rockfish,Sebastes mystinus
,166725,Shortbelly Rockfish,Rockfish_Rockfish,Home_Schooling,,2_2,1_4,30_10,Shortbelly RF,Sebastes jordani,species,Rockfish - Small Schooling,fish,10,491,AK-Baja,Hard/Soft Mixed,Common,30,35,Shortbelly rockfish,Sebastes jordani
,166727,Black Rockfish,Rockfish_Rockfish,Home_Schooling,,2_2,1_4,4_2,Black RF,Sebastes melanops,species,Rockfish - Large Schooling,fish,0,366,AK-Baja,Hard/Soft Mixed,Common,60,69,Black rockfish,Sebastes melanops
,30,Olive/Yellowtail Rockfish complex,Rockfish_Rockfish,Home_Schooling,3,2_2,1_4,6_3,Olive/Yellowtail RF,Sebastes serranoides or flavidus,complex,Rockfish - Large Schooling,fish,0,549,AK-Baja,Rocky,Common,66,,Olive/yellowtail complex,S. serranoides or S. flavidus
,166753,Squarespot Rockfish,Rockfish_Rockfish,Home_Schooling,15,2_2,1_4,9_6,Squarespot RF,Sebastes hopkinsi,species,Rockfish - Large Schooling,fish,18,305,OR-Baja,Hard/Soft Mixed,Common,29,29,Squarespot rockfish,Sebastes hopkinsi
,31,Canary/Vermillion Rockfish complex,Rockfish_Rockfish,Red Rockfish_Complexes,,2_2,2_5,9_2,Canary/Vermillion RF,Sebastes pinniger or miniatus,complex,Rockfish - Demersal,fish,,,,See specific species,Common,54,,Canary/vermilion complex,S. pinniger or S. miniatus
,166751,Pink Rockfish,Rockfish_Rockfish,Red Rockfish_Deep/Uncommon,,2_2,2_6,10_9,Pink RF,Sebastes eos,species,Rockfish - Demersal,fish,45,366,OR-Baja,Rocky,Common,56,56,Pink rockfish,Sebastes eos
,166770,Pinkrose Rockfish,Rockfish_Rockfish,Red Rockfish_Deep/Uncommon,,2_2,2_6,11_10,Pinkrose RF,Sebastes simulator,species,Rockfish - Demersal,fish,99,450,CCA-Baja,Rocky,Uncommon,30,42,Pinkrose rockfish,Sebastes simulator
,166710,Redbanded Rockfish,Rockfish_Rockfish,Patterned_Deep/Uncommon,,2_2,3_6,14_4,Redbanded RF,Sebastes babcocki,species,Rockfish - Demersal,fish,31,1145,AK-SCA,Rocky,Common,55,71,Red banded rockfish,Sebastes babcocki
,166761,Bank Rockfish,Rockfish_Rockfish,Red Rockfish_Patterned,,2_2,2_3,15_8,Bank RF,Sebastes rufus,species,Rockfish - Demersal,fish,31,512,Can-Baja,Hard/Soft Mixed,Common,51,55,Bank rockfish,Sebastes rufus
66,166705,UI rockfish,Rockfish_Rockfish_Rockfish,Home_Patterned_Complexes,19,2_2_2,1_3_5,32_16_7,UI RF,Unidentified Sebastes sp.,genus,Rockfish - Demersal,fish,,,,,,97,,UI rockfish,Sebastes sp.
,87,Squarespot/Widow Rockfish complex,Rockfish_Rockfish_Rockfish,Home_Schooling_Complexes,,2_2_2,1_4_5,28_14_4,Squarespot/Widow RF,Sebastes hopkinsi or entomelas,complex,Rockfish - Large Schooling,fish,0,400,AK-Baja,See specific species,Common,62,,Squarespot/widow Complex,S. hopkinsi or S. entomelas
,167353,Cabezon,Reef Fish_Other Fish,Home_Benthic,,3_7,1_1,18_15,Cabezon,Scorpaenichthys marmoratus,species,Sculpin,fish,0,200,Can-Baja,Hard/Soft Mixed,Common,99,99,Cabezon,Scorpaenichthys marmoratus
,166827,California Scorpionfish,Reef Fish_Other Fish,Home_Benthic,,3_7,1_1,19_9,Ca Scorpionfish,Scorpaena guttata,species,Other Benthic Fish,fish,30,190,CCA-Baja,Hard/Soft Mixed,Common,43,47,California scorpionfish,Scorpaena guttata
,77,California Lizardfish/Lingcod complex,,,,,,,Ca Lizardfish/Lingcod,Synodus lucioceps or Ophiodon elongatus,complex,Other Benthic Fish,fish,0,475,AK-Baja,Hard/Soft Mixed,Common,114,,CA lizard fish/lingcod,S. lucioceps or O. elongatus
,166704,UI Scorpaenid,,,,,,,UI Scorpaenid,Unidentified Scorpaenidae,family,Other Benthic Fish,fish,,,,,,,,,
103,171746,UI goby,,,,,,,UI goby,Unidentified Gobiidae,family,Other Benthic Fish,fish,,,,Rocky,Common,24,,UI goby,Gobiidae
,166462,Bay Pipefish,,,,,,,Bay Pipefish,Syngnathus leptorhynchus,species,Other Fish,fish,0,10,AK-Baja,Hard/Soft Mixed,Uncommon,18,33,Bay pipefish,Syngnathus leptorhynchus
,167267,Buffalo Sculpin,,,,,,,Buffalo Sculpin,Enophrys bison,species,Sculpin,fish,0,20,AK-CCA,Rocky,Common,37,37,Buffalo sculpin,Enophrys bison
,167302,Pacific Staghorn Sculpin,,,,,,,Pacific Staghorn Sculpin,Leptocottus armatus,species,Sculpin,fish,0,914,AK-Baja,Mud/Sand,Uncommon,46,,Staghorn sculpin,Leptocottus armatus
,167196,UI sculpin,,,,,,,UI sculpin,Unidentified Cottidae,family,Sculpin,fish,,,,,,99,,UI sculpin,Cottidae
,0,No fish,,,,,,,,No fish recorded for entire line,,,fish,,,,,,,,No fish,No fish recorded for entire line
,171398,Striped Kelpfish,,,,,,,Striped Kelpfish,Gibbonsia metzi,species,Other Reef Fish,fish,0,57,Can-Baja,Rocky,Common,23,24,Striped kelpfish,Gibbonsia metzi
,171476,Giant Kelpfish,,,,,,,Giant Kelpfish,Heterostichus rostratus,species,Other Reef Fish,fish,0,40,CCA-Baja,Rocky,Common,61,61,Giant kelpfish,Heterostichus rostratus
,166752,Bronzespotted Rockfish,,,,,,,Bronzespotted RF,Sebastes gilli,species,Rockfish - Demersal,fish,130,293,WA-Baja,Rocky,Common,56,85,Bronzespotted rockfish,Sebastes gilli
,166758,Chameleon Rockfish,,,,,,,Chameleon RF,Sebastes phillipsi,species,Rockfish - Demersal,fish,174,390,NCA-SCA,Rocky,Uncommon,43,52,Chameleon rockfish,Sebastes phillipsi
,166772,Dwarf-red Rockfish,,,,,,,Dwarf-red RF,Sebastes rufinanus,species,Rockfish - Demersal,fish,58,220,SCA,Hard/Soft Mixed,Uncommon,17,17,Dwarf-red rockfish,Sebastes rufinanus
,166769,Freckled Rockfish,,,,,,,Freckled RF,Sebastes lentiginosus,species,Rockfish - Demersal,fish,22,290,SCA-Baja,Hard/Soft Mixed,Uncommon,23,23,Freckled rockfish,Sebastes lentiginosus
,166759,Grass Rockfish,,,,,,,Grass RF,Sebastes rastrelliger,species,Rockfish - Demersal,fish,0,46,Can-Baja,Rocky,Common,56,56,Grass rockfish,Sebastes rastrelliger
,166723,Rosethorn Rockfish,,,,,,,Rosethorn RF,Sebastes helvomaculatus,species,Rockfish - Demersal,fish,16,1145,AK-Baja,Hard/Soft Mixed,Uncommon,41,43,Rosethorn rockfish,Sebastes helvomaculatus
,105,Sunset Rockfish,,,,,,,Sunset RF,Sebastes crocotulus,species,Rockfish - Demersal,fish,,,,Similar to Vermillion,,53,57,Sunset rockfish,Sebastes crocotulus
,166737,Yellowmouth Rockfish,,,,,,,Yellowmouth RF,Sebastes reedi,species,Rockfish - Demersal,fish,70,366,AK-NCA,Rocky,Uncommon,58,58,Yellowmouth rockfish,Sebastes reedi
,166711,Silvergray Rockfish,,,,,,,Silvergray RF,Sebastes brevispinis,species,Rockfish - Large Schooling,fish,0,580,AK-Baja,Rocky,Uncommon,71,74,Silvergray rockfish,Sebastes brevispinis
,166720,Yellowtail Rockfish,,,,,,,Yellowtail RF,Sebastes flavidus,species,Rockfish - Large Schooling,fish,0,549,AK-SCA,Rocky,Common,66,66,Yellowtail rockfish,Sebastes flavidus
,166763,Olive Rockfish,,,,,,,Olive RF,Sebastes serranoides,species,Rockfish - Large Schooling,fish,0,172,NCA-Baja,Hard/Soft Mixed,Common,61,61,Olive rockfish,Sebastes serranoides
,644590,Whitespotted Rockfish,,,,,,,Whitespotted RF,Sebastes moseri,species,Rockfish - Small Schooling,fish,50,274,CCA-Baja,Rocky,Common,21,21,Whitespeckled rockfish,Sebastes moseri
